exercise,group,type,sets,reps,weight
hb_squat,quadriceps,legs,4,3,155
deadlift,hamstrings,legs,1,3,190
deadlift,hamstrings,legs,1,4,190
leg_press,quadriceps,legs,3,15,160
leg_extension,quadriceps,3,15,75
leg_curls,hamstrings,4,15,60
