exercise,group,type,sets,reps,weight
bench_press,chest,push,3,6,94
dumbell_overhead_press,shoulders,push,3,8,30
dips,triceps,push,1,10,20
dips,triceps,push,2,10,0
incline_bench_press,chest,push,3,10,54
