exercise,group,type,sets,reps,weight
bench_press,chest,push,3,4,102.5
bench_press,chest,push,3,10,80
dips,triceps,push,2,10,20
dips,triceps,push,1,10,0
dumbell_overhead_press,shoulders,push,3,8,30
cable_rear_delts,shoulders,push,3,15,5
triceps_pushdown,triceps,push,3,15,31.5
cable_lateral_raises,shoulders,push,3,15,5
incline_dumbell_bench_press,chest,push,2,10,30
flyes,chest,push,2,15,75
